"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetFeedback_POST","GetFeedback_POST",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","1","Command line suite","Command line test","APITest","APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"failed","Thu Nov 07 01:20:55 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","2805","Command line suite","Command line test","APITest","APITest","LoginUser_POST","LoginUser_POST",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","0","Command line suite","Command line test","APITest","APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","1","Command line suite","Command line test","APITest","APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","1","Command line suite","Command line test","APITest","APITest","UserLogout_POST","UserLogout_POST",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetLanguageList_GET","GetLanguageList_GET",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","0","Command line suite","Command line test","APITest","APITest","Language_GET","Language_GET",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:59 GMT 2024","726","Command line suite","Command line test","APITest","APITest","ForgotPassword_POST","ForgotPassword_POST",""
"skipped","Thu Nov 07 01:20:58 GMT 2024","Thu Nov 07 01:20:58 GMT 2024","0","Command line suite","Command line test","APITest","APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
