"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetFeedback_POST","GetFeedback_POST",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","UserLogout_POST","UserLogout_POST",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","1","Command line suite","Command line test","APITest","APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:11 GMT 2024","686","Command line suite","Command line test","APITest","APITest","ForgotPassword_POST","ForgotPassword_POST",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"failed","Wed Nov 06 08:57:07 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","2734","Command line suite","Command line test","APITest","APITest","LoginUser_POST","LoginUser_POST",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"skipped","Wed Nov 06 08:57:10 GMT 2024","Wed Nov 06 08:57:10 GMT 2024","1","Command line suite","Command line test","APITest","APITest","Language_GET","Language_GET",""
